Название	Ссылка	Комментарии	язык	Яндекс ИКС	Google PR	Alexa Rank Global	Alexa Rank Russia	Alexa Rank USA
Знак	znak.com		ru	11 000	6	9 599	472
РИА Новости	ria.ru/		ru	53 000	7	440	21
Лента	lenta.ru	есть датасет 09.1999 - 07.2018	ru	49 000	7	517	34
РБК	www.rbc.ru/		ru	44 000	7	701	33
Эхо Москвы	echo.msk.ru		ru	37 000	6	885	79
Комсомольская Правда	kp.ru		ru	33 000	7	721	36
Вести.Ру	www.vesti.ru/news/		ru	33 000	5	876	70
Газета ру	gazeta.ru		ru	32 000	7	802	59
Russia Today	russian.rt.com		ru	31 000	7	604	66
1 Канал	1tv.ru		ru	30 000	6	1 065	145
Московский Комсомолец	mk.ru		ru	28 000	6	1 358	86
Лайф	life.ru/		ru	26 000	6	2 206	157
ТАСС	tass.ru/		ru	22 000	7	1 922	127
Коммерсант	kommersant.ru		ru	22 000	7	2 469	137
Россия 1	russia.tv		ru	22 000	6	2 560	295
Известия	iz.ru		ru	21 000	6	2 481	138
Иносми	inosmi.ru		ru	21 000	6	3 549	302
Аргументы и Факты	aif.ru		ru	20 000	6	2 108	146
Медуза	meduza.io	https://m.habr.com/post/259471/	ru	20 000	6	2 300	190
Российская Газета	rg.ru		ru	20 000	7	2 427	113
ТВ Звезда	tvzvezda.ru		ru	17 000	6	3 831	243
Ura.ru	ura.news		ru	17 000	5	5 491	251
Cosmopolitan	cosmo.ru		ru	16 000	5	3 226	225
НТВ	ntv.ru		ru	16 000	6	3 839	281
StarHit	http://www.starhit.ru/		ru	16 000	5	5 300	331
Фонтанка	fontanka.ru		ru	15 000	6	7 115	416
BBC Russia	www.bbc.com/russian		ru	14 000	7	102	83
7 Дней	7days.ru		ru	14 000	5	3 820	277
Дождь	tvrain.ru		ru	14 000	6	5 357	389
Ведомости	vedomosti.ru		ru	14 000	6	5 631	332
Новая газета	www.novayagazeta.ru/		ru	14 000	6	5 844	539
Интерфакс	www.interfax.ru/		ru	13 000	7	4 613	315
Свобода	svoboda.org		ru	12 000	5	4 898	737
Maxim	maximonline.ru		ru	12 000	5	6 940	513
Дни ру	dni.ru		ru	12 000	6	7 736	1009
Эксперт	expert.ru/		ru	9 700	6	18 693	1939
Форбс Россия	www.forbes.ru/		ru	9 000	6	12 260	972
Аргументы недели	http://argumenti.ru		ru	8 700	6	13 600	839
Сноб	snob.ru		ru	8 400	6	9 208	1046
Новые известия	newizv.ru		ru	7 900	6	17 519	941
Elle	elle.ru		ru	7 400	5	10 994	845
Домашний очаг	goodhouse.ru		ru	7 000	5	9 087	787
Завтра	http://zavtra.ru		ru	6 400	5	23 496	1579
EuroNews	ru.euronews.com		ru	6 200	8	2 275	366
Россия К	tvkultura.ru		ru	5 900	6	15 092	1614
Голос Америки	golos-ameriki.ru		ru	5 600	5	20 286	3636
Psychologies	http://psychologies.ru		ru	5 500	5	11 766	990
ТВ Центр	tvc.ru		ru	5 300	6	24 697	2398
HELLO!	http://ru.hellomagazine.com		ru	5 100	6	612	32
Reuters	ru.reuters.com/		ru	4 800	7	605	294
National Geographic	nat-geo.ru		ru	4 500	5	23 439	1841
Моя планета	moya-planeta.ru		ru	4 100	5	27 137	2139
Вокруг света	http://vokrugsveta.ru		ru	4 000	5	16 868	860
GQ Russia	gq.ru		ru	4 000	5	27 055	2497
Republic	republic.ru/		ru	3 700	5	40 050	5643
Медиазона	zona.media		ru	3 500	5	32 501	2861
Harper's Bazaar	bazaar.ru		ru	3 300	4	29 398	1652
Парламентская Газета	pnp.ru		ru	3 300	5	33 985	1746
ОТР	otr-online.ru		ru	3 300	5	54 811	3447
Esquire	esquire.ru		ru	3 200	6	31 235	3162
Tatler	tatler.ru		ru	3 200	5	47 269	4146
The New Times	newtimes.ru		ru	1 500	6	113 588	14257
Профиль	profile.ru		ru	750	5	320 458	31463
5 канал	5-tv.ru		ru	700	5	7 613	452
Русский репортер	rusrep.ru		ru	400	5	481 366	54558
Лентач	http://lenta.ch/news		ru	350	2	574 599	51921
Итоги	http://itogi.ru		ru	140	5	822 225	110607
Время Новостей	http://vremya.ru		ru	30	5	704 751	7081
